brand,categories,colorway,deadstock_sold,gender,style_id,thumbnail_url,url
adidas,"['adidas', 'Yeezy']",Clay/Clay/Clay,1560,men,EG7490,"https://stockx.imgix.net/adidas-Yeezy-Boost-350-V2-Clay-Product.jpg?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1551987026",adidas-yeezy-boost-350-v2-clay
adidas,"['adidas', 'Yeezy']",Grey/Grey/Grey,8542,men,EG7492,"https://stockx.imgix.net/adidas-Yeezy-Boost-350-V2-True-Form-Product.jpg?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1553182466",adidas-yeezy-boost-350-v2-true-form
addias,"['adidas', 'Yeezy']",Geode/Geode/Geode,1718,men,EG6860,"https://stockx.imgix.net/adidas-Yeezy-Boost-700-V2-Geode-Product.jpg?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1553612214",adidas-yeezy-boost-700-v2-geode
adidas,"['adidas', 'Yeezy']",Grey/Grey/Grey,1284,men,EG7491,"https://stockx.imgix.net/adidas-Yeezy-Boost-350-V2-Hyperspace-Product.jpg?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1553183126",adidas-yeezy-boost-350-v2-hyperspace
adidas,"['adidas', 'Yeezy']",Grey/Grey/Inertia,7665,men,EG7597,"https://stockx.imgix.net/adidas-Yeezy-Boost-700-Inertia-Product.jpg?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1551991286",adidas-yeezy-boost-700-inertia
adidas,"['adidas', 'Yeezy']",Static/Static/Static,25262,men,EF2905,"https://stockx.imgix.net/adidas-Yeezy-Boost-350-V2-Static-Product.jpg?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1544657399",adidas-yeezy-boost-350-v2-static
adidas,"['adidas', 'Yeezy']",Cream White/Cream White,37003,men,CP9366,"https://stockx.imgix.net/Adidas-Yeezy-Boost-350-V2-Cream-White-1-1.jpg?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1539789713",adidas-yeezy-boost-350-v2-cream-white
adidas,"['adidas', 'Yeezy']",Grey/Bold Orange/Dark Grey,13167,men,AH2203,"https://stockx.imgix.net/Adidas-Yeezy-Boost-350-V2-Beluga-2pt0-Product.jpg?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1538080256",adidas-yeezy-boost-350-v2-beluga-2-0
adidas,"['adidas', 'Yeezy']",Sesame/Sesame/Sesame,24856,men,F99710,"https://stockx.imgix.net/Adidas-Yeezy-Boost-350-V2-Sesame-Thumb.jpg?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1541007855",adidas-yeezy-boost-350-v2-sesame
adidas,"['adidas', 'Yeezy']",Semi Frozen Yellow/Raw Steel/Red,17919,men,B37572,"https://stockx.imgix.net/Adidas-Yeezy-Boost-350-V2-Semi-Frozen-Yellow-Product.jpg?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1538080256",adidas-yeezy-boost-350-v2-semi-frozen-yellow
adidas,"['adidas', 'Yeezy']",White/Core Black/Red,37150,men,CP9654,"https://stockx.imgix.net/Adidas-Yeezy-Boost-350-V2-Zebra-Product.jpg?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1538080256",adidas-yeezy-boost-350-v2-white-core-black-red
adidas,"['adidas', 'Yeezy']",Solid Grey/Chalk White/Core Black,37540,men,B75571,"https://stockx.imgix.net/Adidas-Yeezy-Wave-Runner-700-Solid-Grey-Product.jpg?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1538080256",adidas-yeezy-wave-runner-700-solid-grey
adidas,"['adidas', 'Yeezy']",Butter/Butter/Butter,46360,men,F36980,"https://stockx.imgix.net/Adidas-Yeezy-Boost-350-V2-Butter-Product.jpg?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1538080256",adidas-yeezy-boost-350-v2-butter
adidas,"['adidas', 'Yeezy']",Salt/Salt/Salt,3479,men,EG7487,"https://stockx.imgix.net/Adidas-Yeezy-Boost-700-Salt-Product.jpg?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1551715050",adidas-yeezy-boost-700-salt
adidas,"['adidas', 'Yeezy']",Static/Static/Static,16456,men,EF2367,"https://stockx.imgix.net/adidas-Yeezy-Boost-350-V2-Static-Reflective-Product.jpg?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1545956613",adidas-yeezy-boost-350-v2-static-reflective
